Event_ID,Event_Name,Event_Type,Start_Date,End_Date,Location_Address,Target_Audience,Associated_District,Event_Description
POP2306E,레어로우 하우스 x 차인철 '입주파티',오프닝/팝업,2023.6.24,2023.6.24,서울 성동구 연무장길 20 (레어로우 하우스),"20-40대, 가구/디자인",성수동,가구 브랜드 레어로우 쇼룸 리뉴얼 및 아트디렉터 차인철 협업 기념 파티.
POP2306F,KCON JAPAN 2023 포토매틱 팝업,팝업,2023.6.3,2023.7.2,서울 성동구 성수이로7길 24,"10-20대, KPOP팬",성수동,KCON JAPAN 참여 아티스트 프레임 포토매틱 부스 팝업.
POP2306G,29CM '이구클로젯' 팝업,팝업,2023.6.2,2023.6.25,서울 성동구 아차산로 78 (이구성수),"20-30대, 패션/온라인쇼핑",성수동,온라인 편집샵 29CM의 여름 옷장 컨셉 팝업.
POP2306H,클룹 x 나이스웨더 제로소다 팝업,팝업,2023.6.8,2023.6.28,서울 성동구 연무장길 43-1,"20-30대, F&B/라이프스타일",성수동,탄산음료 클룹 제로소다와 편집샵 나이스웨더 협업 팝업.
POP2307A,샤넬 코드 컬러 팝업,팝업,2023.7.5,2023.7.30,서울 성동구 아차산로9길 41 (레이어 41),"20-40대 여성, 뷰티/럭셔리",성수동,샤넬 뷰티의 컬러 코드를 테마로 한 체험형 팝업. 메이크업 서비스.
POP2307B,레이브 '더 쉘 스토어',팝업,2023.6.14,2023.8.14,서울 성동구 연무장길 20 (레이브 성수 스튜디오),"20-30대 여성, 패션",성수동,패션 브랜드 레이브의 '조개' 컨셉 플래그십 스토어형 팝업.
POP2307C,더 글렌리벳 x 오색칠 팝업,팝업,2023.6.16,2023.7.16,서울 성동구 성수이로 77 1층 (카페 오색칠),"20-40대, 주류/F&B",성수동,"싱글몰트 위스키 더 글렌리벳 여름 시즌 팝업. 하이볼, 디저트 판매."
POP2307D,예스24 '생각 지상주의자들의 요람',팝업,2023.7.3,2023.7.16,서울 성동구 연무장15길 11 (에스팩토리 D동),"20-40대, 도서/문화",성수동,"예스24 창립 24주년 기념 팝업. 도서 전시, 굿즈 판매, 크레마 체험."
POP2307E,넷플릭스 '#오징업게임 스낵' 팝업,팝업,2023.6.30,2023.7.20,서울 성동구 연무장길 38-1 (GS25 도어투성수),"10-30대, F&B/콘텐츠",성수동,넷플릭스 콘텐츠 제휴 스낵 출시 기념 팝업. 포토존 및 이벤트.
POP2308A,아모레성수 x G.G. 'Find my i-dol',팝업,2023.7.25,2023.8.20,서울 성동구 아차산로11길 7 (아모레성수),"10-20대 여성, 뷰티/버추얼인플루언서",성수동,버추얼 인플루언서 G.G. 협업 메이크업 체험 팝업.
POP2308B,NCT DREAM 'DREAM Agit' 팝업,팝업,2023.7.17,2023.8.20,서울 성동구 성수동1가 656-294,"10-20대, KPOP팬",성수동,NCT DREAM 정규 3집 'ISTJ' 발매 기념 팝업. MD 판매 및 럭키드로우.
POP2308C,토앤토 'Playful Garden' 팝업,팝업,2023.7.27,2023.9.3,서울 성동구 성수이로10길 14,"10-30대, 패션/라이프스타일",성수동,슬리퍼 브랜드 토앤토 팝업. 볼풀 컨셉 체험 공간.
POP2308D,마리떼 프랑소와 저버 '마리떼 마켓',샘플세일/팝업,2023.8.4,2023.8.6,서울 성동구 연무장11길 13,"10-30대, 패션",성수동,마리떼 프랑소와 저버 그랜드 샘플 세일 (최대 90% 할인).
POP2308E,밀리언 아카이브 '티셔츠 샵',빈티지마켓/팝업,2023.8.5,2023.8.27,서울 성동구 아차산로5길 24-18,"10-30대, 패션/빈티지",성수동,빈티지 티셔츠 마켓. 쇼핑백 채우기 이벤트.
POP2308F,팍시(PARKSSY) 23 S/S 팝업 & 샘플 세일,팝업,2023.8.2,2023.8.9,서울 성동구 연무장길 81 (스퀘어성수),"20-30대, 패션",성수동,디자이너 브랜드 팍시 시즌 컬렉션 팝업 및 샘플 세일.
POP2308G,샌프란시스코 마켓 패밀리 세일,샘플세일/팝업,2023.8.3,2023.8.6,서울 성동구 연무장15길 11 (에스팩토리 B동 110호),"20-40대, 패션",성수동,편집샵 샌프란시스코 마켓 패밀리 세일 (최대 80% 할인).
POP2308H,에스티 로더 'ANR 뷰티 슬립 라운지',팝업,2023.8.5,2023.8.13,서울 성동구 서울숲4길 15-1 (인포멀스퀘어),"20-40대 여성, 뷰티",성수동(서울숲 인근),에스티 로더 갈색병 신제품 출시 기념 팝업. 제품 체험 및 라운지 운영.
POP2309A,LADY DIOR CELEBRATION 전시,전시/팝업,2023.9.2,2023.9.17,서울 성동구 연무장5길 7 (디올성수),"20-50대, 패션/예술",성수동,"프리즈 서울 기념, 국내 아티스트들이 재해석한 레이디 디올 백 전시."
POP2309B,몽블랑 '라이브러리 스피릿',팝업,2023.9.1,2023.9.17,서울 성동구 연무장길 28-16 (타임애프터타임),"30-50대, 럭셔리/라이프스타일",성수동,몽블랑 익스트림 3.0 컬렉션 런칭 팝업. 카페 및 전시 공간.
POP2309C,쿠첸 '미토피아' 팝업,팝업,2023.9.2,2023.9.17,서울 성동구 연무장1길 7-1 (공간 와디즈),"20-40대, 가전/라이프스타일",성수동,쿠첸 밥솥 브랜드 팝업. '밥심' 컨셉 체험 및 이벤트.
POP2309D,나뚜르 x 더필름 샘플링 이벤트,팝업/이벤트,2023.9.1,2023.9.3,서울 성동구 연무장길 29-1 1층 (더필름 성수점),"10-30대, F&B/사진",성수동,나뚜르 아이스크림 신제품 시식 및 포토존 이벤트.
POP2309E,FOOS 라이프스타일 잡화점,팝업/매장,2023.9.1,,서울 성동구 서울숲2길 20-8,"20-40대, 라이프스타일/F&B",성수동(서울숲 인근),유럽 감성 식료품 및 라이프스타일 아이템 판매점 오픈.
POP2309F,영화 <거미집> 팝업스토어,팝업,2023.9.4,2023.9.24,서울 성동구 아차산로 6 (블루밍테라),"20-40대, 영화",성수동(뚝섬역 인근),영화 <거미집> 개봉 기념 팝업. 영화 세트장 체험 및 이벤트.
POP2309G,영화 <천박사 퇴마 연구소> 팝업,팝업,2023.9.8,2023.9.24,서울 성동구 성수일로 40,"10-30대, 영화",성수동,영화 <천박사 퇴마 연구소> 개봉 기념 팝업. 퇴마 컨셉 체험존.
POP2309H,뉴닉 'My Keyword Space',팝업,2023.9.6,2023.9.17,서울 성동구 연무장17길 10 (LCDC),"20-30대, 미디어/뉴스",성수동,뉴스레터 서비스 뉴닉 오프라인 팝업. 키워드 전시 및 이벤트.
POP2309I,무라카미 하루키 스테이션,팝업,2023.9.9,2023.9.17,서울 성동구 성수일로10가길 4,"30-50대, 도서/문학",성수동,무라카미 하루키 신간 발매 기념 팝업. 도서 전시 및 판매.
POP2310A,자크뮈스 '르 카페 플뢰르',팝업,2023.10.20,2023.10.29,서울 성동구 연무장길 101-1 (오우드 성수 1호점),"20-30대 여성, 패션/카페",성수동,자크뮈스 아시아 최초 카페 팝업. 한정 음료 및 부케 판매.
POP2310B,AOMG 'AOMIX FEST',파티/팝업,2023.10.28,2023.10.28,서울 성동구 연무장15길 11 (에스팩토리 D동),"20-30대, 힙합/음악",성수동,힙합 레이블 AOMG의 오프라인 DJ 파티.
POP2310C,스트레인저 웨어하우스 세일,샘플세일/팝업,2023.10.28,2023.10.29,서울 성동구 연무장15길 11 (에스팩토리 D동),"20-30대, 패션",성수동,스트레인져 및 여러 브랜드 참여 웨어하우스 세일 (최대 90% 할인).
POP2310D,버버리 '성수 로즈' (외 2곳),팝업,2023.10.7,2023.11.5,서울 성동구 연무장길 73 (메인) 외 2곳,"20-40대, 패션/럭셔리",성수동,버버리 스트리트 프로젝트의 일환. 카페 포함 3개 팝업 동시 운영.
POP2310E,동대문엽기떡볶이 팝업,팝업,2023.10.20,2023.11.12,서울 성동구 성수이로18길 6-1,"10-30대, F&B",성수동,엽기떡볶이 브랜드 팝업. 특별 메뉴 무료 제공 및 굿즈 판매.
POP2310F,샤넬 조향 마스터클래스,팝업/클래스,2023.10.23,2024.4.21,서울 성동구 연무장길 102,"20-50대 여성, 뷰티/향수",성수동,샤넬 향수 맞춤 추천 및 조향 클래스 제공 (장기 운영).
POP2310G,무신사 부티크 세일,세일/팝업,2023.10.21,2023.11.5,서울 성동구 연무장길 81 B1 (스퀘어 성수 1),"20-40대, 패션/럭셔리",성수동,무신사 부티크 입점 럭셔리 브랜드 할인 판매 (최대 75%).
POP2310H,파라점퍼스 x EQL 팝업,팝업,2023.10.20,2023.11.6,서울 성동구 연무장15길 11 1층 (EQL GROVE),"20-40대, 패션",성수동,아우터 브랜드 파라점퍼스 EQL 런칭 기념 팝업.
POP2311A,DEFINE:SEOUL 2023,아트페어/팝업,2023.11.1,2023.11.5,"레이어 27, 레이어 41, 앤디스 (성수동 일대 3곳)","20-50대, 예술/디자인",성수동,아트부산 주관 디자인 & 아트 페어. 갤러리 전시 및 토크.
POP2311B,파워퍼프걸 x 빼빼로 팝업,팝업,2023.11.1,2023.11.29,서울 성동구 연무장길 38-1 (GS25 도어투성수),"10-20대, F&B/캐릭터",성수동,빼빼로데이 기념 파워퍼프걸 콜라보 팝업. 포토존 및 굿즈.
POP2311C,유병재 '뭐든 축전 촬영회',이벤트/팝업,2023.11.4,2023.11.4,서울 성동구 왕십리로5길 3 1층 (퀴버 서울숲),"20-30대, 유머/방송",성수동(서울숲 인근),방송인 유병재가 직접 축하 영상을 찍어주는 이벤트.
POP2311D,지올팍 x EQL 팝업,팝업,2023.11.3,2023.11.9,서울 성동구 연무장15길 11 (EQL GROVE),"10-30대, 음악/패션",성수동,뮤지션 지올팍 앨범 발매 기념 팝업. 뮤비 소품 및 의상 전시.
POP2311E,뮤지컬 <마리 퀴리> 팝업,팝업,2023.11.3,2023.11.13,서울 성동구 성수일로 40,"20-40대, 공연/문화",성수동,뮤지컬 <마리 퀴리> 홍보 팝업. 주요 장면 모티브 공간 구성.
POP2311F,인사일런스 성수 스토어 오픈,팝업/매장,2023.11.22,2023.12.3,서울 성동구 연무장17길 5 2층,"20-30대, 패션",성수동,패션 브랜드 인사일런스 성수 매장 오픈 기념 이벤트. 블랙프라이데이 세일.
POP2311G,제이에스티나 핸드백 '미뇽' 팝업,팝업,2023.11.23,2023.11.29,서울 성동구 아차산로 104 3층 (무신사 테라스 성수),"20-30대 여성, 패션",성수동,제이에스티나 핸드백 미뇽 컬렉션 런칭 팝업. 뮤즈 (여자)아이들 방문.
POP2311H,프리메라 '씨드 투 배리어' 팝업,팝업,2023.11.21,2023.12.3,서울 성동구 아차산로11길 7 (아모레성수),"20-40대, 뷰티",성수동,뷰티 브랜드 프리메라의 피부 장벽 솔루션 체험 팝업.
POP2311I,희녹 x 포인트오브뷰 '더 핸드밤' 팝업,팝업,2023.11.24,2023.12.20,서울 성동구 연무장길 18 2층 (포인트오브뷰),"20-40대, 라이프스타일/뷰티",성수동,라이프스타일 브랜드 희녹 핸드밤 출시 기념 팝업. 선물 키트 판매.
POP2312A,문체부 '외:로움이의 집',팝업,2023.12.20,2023.12.21,서울 성동구 성수이로18길 20,전 연령,성수동,문화체육관광부 주관 외로움 극복 캠페인 체험형 팝업.
POP2312B,백종원 x 진 '취중진담' 팝업 (스마일 라이프 타운),팝업,2023.12.20,2023.12.24,서울 성동구 연무장11길 13,"20-40대, 주류/KPOP",성수동,백종원과 BTS 진이 개발한 전통주 'IGIN' 브랜드 팝업.
POP2312C,세이브더칠드런 전시 팝업,전시/팝업,2023.12.19,2023.12.22,서울 성동구 연무장17길 2,"전 연령, 기부",성수동,국제 구호개발 NGO 세이브더칠드런 전시형 팝업.
POP2312D,삼쩜삼 '연말정산 미리보기' 팝업,팝업,2023.12.20,2023.12.29,서울 성동구 연무장7길 16,"20-40대, 직장인",성수동,세금 환급 서비스 삼쩜삼 브랜드 팝업. 연말정산 상담 및 이벤트.
POP2312E,무신사 홀리데이 기프트샵,팝업,2023.12.20,2023.12.29,서울 성동구 성수이로20길 12,"10-30대, 패션",성수동,무신사 연말 선물 시즌 기획 팝업 스토어.
POP2312F,젠레스 존 제로 겨울 팝업,팝업,2023.12.19,2023.12.23,서울 성동구 서울숲길 53,"10-30대, 게임",성수동(서울숲 인근),모바일 게임 '젠레스 존 제로' 겨울 테마 팝업. 게임 체험 및 굿즈.
POP2312G,버뮬라(VERMULAR) 팝업,팝업,2023.12.19,2023.12.25,서울 성동구 성수이로18길 43,"20-30대, 패션",성수동,패션 브랜드 버뮬라 연말 시즌 팝업 스토어.
POP2401A,붕빵붕빵 (붕어빵 팝업),팝업,2023.12.1,2024.2.29,서울 성동구 성수일로4길 33 1층,"10-30대, F&B/디저트",성수동,겨울 시즌 붕어빵 판매 및 관련 굿즈 팝업.
POP2401B,카누 '캡슐 커피' 팝업,팝업,2023.12.8,2024.1.28,서울 성동구 성수이로20길 57 (에스팩토리),"20-40대, F&B/커피",성수동,맥심 카누 캡슐 커피 런칭 기념 팝업. 커피 취향 테스트 및 시음.
POP2401C,살롱 드 루에브르,팝업,2023.11.30,2024.1.30,서울 성동구 서울숲2길 29 1층,"20-30대 여성, 패션",성수동(서울숲 인근),여성 의류 및 가방 브랜드 루에브르 팝업 스토어.
POP2401D,무무씨네 편의점,팝업,2024.1.3,2024.1.16,서울 성동구 연무장길 38-1 (GS25 도어투성수),"10-20대, 캐릭터/굿즈",성수동,캐릭터 '무무씨' IP 활용 편의점 컨셉 팝업. 굿즈 판매.
POP2401E,성수 따겨마켓 (플리마켓),마켓/페스티벌,2024.1.14,2024.1.14,서울 성동구 서울숲4길 12-22 (구욱희씨),"전 연령, 로컬",성수동(서울숲 인근),성수 지역 기반 로컬 플리마켓. 수익금 기부 행사.
POP2401F,아도르(Ador) 플래그십 스토어 오픈,팝업/매장,2024.1.25,2024.1.31,서울 성동구 아차산로11길 3,"20-30대 여성, 뷰티/헤어",성수동,헤어케어 브랜드 아도르 플래그십 스토어 프리오픈 이벤트.
POP2401G,이구성수 x 부디무드라,팝업,2024.1.18,2024.2.25,서울 성동구 아차산로 78 (이구성수),"20-40대, 라이프스타일/요가",성수동,온라인 편집샵 이구성수와 요가웨어 브랜드 부디무드라 협업 팝업.
POP2401H,김김랩 '우는 순간에도 넌 빛나고 있어' 전시,전시/팝업,2024.1.19,2024.2.17,서울 성동구 연무장17길 10 (LCDC 3층),"10-30대, 예술/캐릭터",성수동,일러스트레이터 김김랩 개인전. 아이스크림 캐릭터 테마.
POP2401I,SJYP 'NEW BLUE' 팝업,팝업,2024.1.18,2024.1.31,서울 성동구 연무장15길 11 (EQL GROVE),"10-30대, 패션",성수동,패션 브랜드 SJYP 리브랜딩 24SS 컬렉션 팝업.
POP2402A,피앳유즈(Pae.dus) 팝업,팝업,2024.2.17,2024.2.25,서울 성동구 성수일로3길 8 (제인마치메종),"20-30대 여성, 패션/라운지웨어",성수동,라운지웨어 브랜드 피앳유즈 첫 팝업 스토어.
POP2402B,오뚜기 x 모루비 팝업,팝업,2024.2.16,2024.2.18,서울 성동구 연무장길 13 (온더무브),"20-30대, F&B/디저트",성수동,오뚜기와 부산 디저트 맛집 모루비 협업 팝업. 카레 파운드 케이크 공개.
POP2402C,에세테라 '입춘대길 분재전',전시/팝업,2024.2.3,2024.2.18,서울 성동구 연무장17길 5 (KIDO STUDIO),"30-50대, 라이프스타일/가드닝",성수동,라이프스타일 브랜드 에세테라의 입춘 맞이 분재 전시.
POP2402D,폴바셋 x 아모레성수 'Cupid's Lab',팝업,2024.2.13,2024.3.3,서울 성동구 아차산로11길 7 (아모레성수),"20-30대, F&B/뷰티",성수동,발렌타인데이 기념 폴바셋과 아모레성수 협업 팝업. 아이스크림 증정.
POP2402E,TTRS 에어슬랜드 팝업,팝업,2024.1.30,2024.3.17,서울 성동구 아차산로9길 12 (TTRS),"20-30대, 라이프스타일/캔들",성수동,캔들 브랜드 TTRS 팝업. 신규 블럭 캔들 공개.
