Event_ID,Event_Name,Event_Type,Start_Date,End_Date,Location_Address,Target_Audience,Associated_District,Event_Description
HYU001,한양대 2023년 1학기 중간고사,대학이벤트,2023.4.15,2023.4.24,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리","중간고사 기간. 학생들의 도서관, 카페 이용률 급증. 야식 및 배달 수요 증가."
HYU002,한양대 2023년 봄 축제 (Rachios),대학축제,2023.5.24,2023.5.26,서울 성동구 왕십리로 222 (한양대학교),"대학생, 20대","행당동, 사근동, 왕십리","봄 축제 기간. 주점, 식당, 카페 등 야간 유동인구 및 학생 모임 폭증."
HYU003,한양대 2023년 1학기 기말고사,대학이벤트,2023.6.13,2023.6.21,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리",기말고사 기간. 학생들의 카페 이용률 및 야식 수요 증가.
HYU004,한양대 2023년 여름 방학,대학이벤트,2023.6.22,2023.8.31,서울 성동구 왕십리로 222 (한양대학교),대학생(감소),"행당동, 사근동, 왕십리",대학가 상권 학생 유동인구 급감. 비수기 시작.
HYU005,한양대 2023년 2학기 중간고사,대학이벤트,2023.10.16,2023.10.25,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리","중간고사 기간. 학생들의 도서관, 카페 이용률 급증. 야식 및 배달 수요 증가."
HYU006,한양대 2023년 2학기 기말고사,대학이벤트,2023.12.2,2023.12.11,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리",기말고사 기간. 학생들의 카페 이용률 및 야식 수요 증가.
HYU007,한양대 2023년 겨울 방학,대학이벤트,2023.12.18,2024.2.29,서울 성동구 왕십리로 222 (한양대학교),대학생(감소),"행당동, 사근동, 왕십리",대학가 상권 학생 유동인구 급감. 비수기 시작.
HYU008,한양대 2024년 1학기 중간고사,대학이벤트,2024.4.13,2024.4.22,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리","중간고사 기간. 학생들의 도서관, 카페 이용률 급증. 야식 및 배달 수요 증가."
HYU009,한양대 2024년 봄 축제,대학축제,2024.5.22,2024.5.24,서울 성동구 왕십리로 222 (한양대학교),"대학생, 20대","행당동, 사근동, 왕십리","봄 축제 기간. 주점, 식당, 카페 등 야간 유동인구 및 학생 모임 폭증."
HYU010,한양대 2024년 1학기 기말고사,대학이벤트,2024.6.1,2024.6.10,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리",기말고사 기간. 학생들의 카페 이용률 및 야식 수요 증가.
HYU011,한양대 2024년 여름 방학,대학이벤트,2024.6.17,2024.8.31,서울 성동구 왕십리로 222 (한양대학교),대학생(감소),"행당동, 사근동, 왕십리",대학가 상권 학생 유동인구 급감. 비수기 시작.
HYU012,한양대 2024년 가을 축제,대학축제,2024.10.10,2024.10.11,서울 성동구 왕십리로 222 (한양대학교),"대학생, 20대","행당동, 사근동, 왕십리",가을 축제 기간. 봄 축제보다 규모는 작으나 학생 모임 증가.
HYU013,한양대 2024년 2학기 중간고사,대학이벤트,2024.10.14,2024.10.23,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리","중간고사 기간. 학생들의 도서관, 카페 이용률 급증. 야식 및 배달 수요 증가."
HYU014,한양대 2024년 2학기 기말고사,대학이벤트,2024.12.7,2024.12.16,서울 성동구 왕십리로 222 (한양대학교),대학생,"행당동, 사근동, 왕십리",기말고사 기간. 학생들의 카페 이용률 및 야식 수요 증가.
MOV001,영화 '아바타: 물의 길' 흥행,영화개봉,2023.1.1,2023.1.31,서울 성동구 왕십리광장로 17 (CGV 왕십리),영화 관람객,왕십리,2022년 12월 14일 개봉 후 2023년 1월까지 천만 관객을 동원하며 흥행 지속.
MOV002,영화 '스즈메의 문단속' 개봉,영화개봉,2023.3.8,2023.4.8,서울 성동구 왕십리광장로 17 (CGV 왕십리),"10-30대, 영화 관람객",왕십리,2023년 상반기 애니메이션 최고 흥행작. N차 관람객 다수 발생.
MOV003,영화 '범죄도시3' 개봉,영화개봉,2023.5.31,2023.6.30,서울 성동구 왕십리광장로 17 (CGV 왕십리),"20-40대 남성, 영화 관람객",왕십리,2023년 첫 천만 관객 돌파 한국 영화. 영화 관람 후 식사/주류 수요 급증.
MOV004,영화 '엘리멘탈' 흥행,영화개봉,2023.6.14,2023.7.31,서울 성동구 왕십리광장로 17 (CGV 왕십리),"가족 단위, 10-20대 여성",왕십리,개봉 초기보다 입소문을 타며 역주행 흥행.
MOV005,영화 '서울의 봄' 개봉,영화개봉,2023.11.22,2024.1.15,서울 성동구 왕십리광장로 17 (CGV 왕십리),"30-50대, 직장인",왕십리,2023년 하반기 최고 흥행작. 심야 영화 관람 및 회식/모임 수요 견인.
MOV006,영화 '파묘' 개봉,영화개봉,2024.2.22,2024.4.10,서울 성동구 왕십리광장로 17 (CGV 왕십리),"20-40대, 오컬트 팬",왕십리,2024년 첫 천만 관객 돌파.
MOV007,영화 '범죄도시4' 개봉,영화개봉,2024.4.24,2024.5.31,서울 성동구 왕십리광장로 17 (CGV 왕십리),"20-40대 남성, 영화 관람객",왕십리,2024년 천만 관객 돌파. 영화 관람 전후 식사 수요 급증.
MOV008,영화 '인사이드 아웃 2' 개봉,영화개봉,2024.6.12,2024.7.31,서울 성동구 왕십리광장로 17 (CGV 왕십리),"10-30대 여성, 가족 단위",왕십리,2024년 최고 흥행 애니메이션. 가족 및 데이트 관람객 다수.
